brawler,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38,rank_39,rank_40,rank_41,rank_42,rank_43,rank_44,rank_45,rank_46,rank_47,rank_48,rank_49,rank_50,introduced,star_power_1,star_power_1,gadget_1,gadget_2,hypercharge,buffies
Shelly,C,F,F,A,B,B,B,C,C,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,C,C,F,F,F,F,F,F,S,S,S,S,A,A,B,B,B,B,C,C,D,C,C,C,S,A,,,,,,,
Colt,A,S,S,S,S,B,B,B,A,C,B,C,B,C,F,F,F,C,C,F,F,S,B,B,C,C,C,C,D,D,C,C,D,D,B,B,B,B,B,B,C,C,C,C,D,D,F,F,S,A,,,,,,,
Nita,B,C,B,B,B,C,A,C,B,B,C,C,B,C,C,B,B,B,B,C,B,A,C,C,C,C,F,F,B,B,B,B,B,B,A,A,B,B,A,A,B,A,B,A,B,C,C,D,D,B,,,,,,,
Bull,A,B,F,B,C,C,C,B,B,A,B,B,C,C,B,B,C,B,C,C,C,C,F,F,C,B,C,B,D,D,D,D,D,F,C,A,B,B,C,C,C,D,D,D,F,B,B,B,B,S,,,,,,,
Jessie,C,F,C,C,F,B,B,B,B,B,B,F,F,F,F,F,F,F,F,F,C,C,A,C,B,B,C,C,C,D,D,D,C,B,B,B,B,S,A,A,A,B,B,C,D,F,D,F,F,F,,,,,,,
Brock,A,B,A,S,S,S,S,S,A,S,S,S,S,S,A,B,B,A,S,A,S,B,C,S,B,A,B,B,C,A,B,B,B,B,B,B,B,B,B,B,D,C,B,B,C,C,C,B,B,B,,,,,,,
Dynamike,C,F,A,S,A,A,A,B,F,F,C,F,F,C,C,C,F,F,F,F,F,F,F,F,C,C,C,F,F,F,C,A,A,A,B,B,A,A,B,B,A,C,B,B,C,C,D,F,C,B,,,,,,,
Bo,B,B,C,C,B,B,A,C,B,B,A,B,A,S,A,B,B,B,B,C,F,F,F,C,C,F,B,A,B,B,B,B,B,B,B,C,S,A,C,D,C,C,B,B,A,B,B,C,D,A,,,,,,,
Poco,C,B,F,B,S,A,S,F,A,F,F,F,C,B,B,C,F,C,B,B,B,B,S,B,B,B,C,C,S,S,A,S,A,B,B,B,C,B,A,B,B,B,B,S,B,B,C,D,C,B,,,,,,,
Barley,B,F,C,A,A,A,A,A,C,A,A,A,A,A,B,B,C,B,B,F,A,B,S,A,B,B,B,B,C,B,C,C,B,B,A,A,B,C,B,A,A,A,B,A,A,A,B,B,B,B,,,,,,,
Rico,A,S,S,S,A,B,B,F,A,A,B,F,B,B,B,B,B,C,F,C,C,B,C,S,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,B,B,B,B,S,,,,,,,
El Primo,B,C,F,F,F,C,C,B,F,B,C,C,C,C,B,B,F,F,C,C,F,F,F,B,F,C,C,C,D,D,D,B,C,B,B,B,D,A,B,C,C,C,C,B,C,C,D,D,F,D,,,,,,,
